1;1928.00;9.50;555.00;big
1;794.00;9.50;531.00;big
2;1801.00;10.43;102.00;big
2;1864.00;10.32;70.00;big
3;1838.00;10.35;134.00;big
3;1789.00;9.80;154.00;big
4;1783.00;10.30;74.00;big
4;1829.00;15.20;50.00;big
5;1738.00;10.00;106.00;big
5;1676.00;10.05;98.00;big
6;1684.00;9.80;142.00;big
6;1734.00;9.80;151.00;big
7;1540.00;9.82;175.00;big
7;1622.00;15.73;152.00;big
8;1560.00;10.50;205.00;big
8;1545.00;10.40;243.00;big
9;1605.00;9.98;248.00;big
9;1636.00;10.05;210.00;big
10;1733.00;11.78;218.00;big
10;1678.00;11.70;223.00;big
11;1783.00;10.15;207.00;big
11;1733.00;18.33;188.00;big
12;1582.00;9.80;311.00;big
12;1633.00;12.50;389.00;big
13;1655.00;11.57;327.00;big
13;1641.00;10.48;280.00;big
14;1748.00;10.00;354.00;big
14;1680.00;10.50;368.00;big
15;1743.00;11.30;308.00;big
15;1706.00;12.23;271.00;big
16;1852.00;10.38;279.00;big
16;1910.00;10.00;292.00;big
17;1809.00;10.53;307.00;big
17;1787.00;10.95;264.00;big
18;1871.00;9.80;337.00;big
18;1846.00;9.85;370.00;big
19;1890.00;10.25;390.00;big
19;1948.00;10.20;389.00;big
